Search keyword report
"August 8, 2020 - August 14, 2020"
Device,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Max. CPC,Impr.,Impr. (Top) %,Search impr. share,Search top IS,Cost,Clicks,Conversions,Click share,Match type,Search exact match IS,Search lost top IS (rank)
Other,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--c-driver tracking-Google,USD,Campaign paused,10.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--c-driver tracking-Google,USD,Campaign paused,10.30,194,90.72%,51.05%,46.32%,118.94,15,1.00,67.33%,Broad match, --,53.68%
Mobile phones,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--c-driver tracking-Google,USD,Campaign paused,10.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--c-driver tracking-Google,USD,Campaign paused,10.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--c-driver tracking-Google,USD,Campaign paused,10.30,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DRIVER +TRACKER,M7M2-DRIVER,b--c-driver tracker-Google,USD,Campaign paused,9.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +TRACKER,M7M2-DRIVER,b--c-driver tracker-Google,USD,Campaign paused,9.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DRIVER +TRACKER,M7M2-DRIVER,b--c-driver tracker-Google,USD,Campaign paused,9.80,29,89.66%,49.15%,44.07%,17.93,2,0.00,64.55%,Broad match, --,55.93%
TV screens,Enabled, +DRIVER +TRACKER,M7M2-DRIVER,b--c-driver tracker-Google,USD,Campaign paused,9.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DRIVER +TRACKER,M7M2-DRIVER,b--c-driver tracker-Google,USD,Campaign paused,9.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--m-driver tracking-Google,USD,Campaign paused,4.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--m-driver tracking-Google,USD,Campaign paused,4.20,80,86.08%,22.07%,19.26%,9.17,6,0.00,24.67%,Broad match, --,80.74%
Computers,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--m-driver tracking-Google,USD,Campaign paused,4.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--m-driver tracking-Google,USD,Campaign paused,4.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DRIVER +TRACKING,M7M2-DRIVER,b--m-driver tracking-Google,USD,Campaign paused,4.20,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--m-driver monitoring-Google,USD,Campaign paused,3.60,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--m-driver monitoring-Google,USD,Campaign paused,3.60,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--m-driver monitoring-Google,USD,Campaign paused,3.60,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--m-driver monitoring-Google,USD,Campaign paused,3.60,17,88.24%,17.71%,16.48%,1.08,1,0.00,22.45%,Broad match, --,83.52%
Computers,Enabled, +DRIVER +MONITORING,M7M2-DRIVER,b--m-driver monitoring-Google,USD,Campaign paused,3.60,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DRIVER +ROUTING,M7M2-DRIVER,b--c-driver routing-Google,USD,Campaign paused,7.60,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DRIVER +ROUTING,M7M2-DRIVER,b--c-driver routing-Google,USD,Campaign paused,7.60,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +ROUTING,M7M2-DRIVER,b--c-driver routing-Google,USD,Campaign paused,7.60,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DRIVER +ROUTING,M7M2-DRIVER,b--c-driver routing-Google,USD,Campaign paused,7.60,42,88.10%,43.75%,38.54%,32.53,5,0.00,42.87%,Broad match, --,61.46%
Other,Enabled, +DRIVER +ROUTING,M7M2-DRIVER,b--c-driver routing-Google,USD,Campaign paused,7.60,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--c-driver safety-Google,USD,Campaign paused,3.70,242,68.18%,14.40%,< 10%,27.58,8,0.00,16.62%,Broad match, --,> 90%
Tablets,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--c-driver safety-Google,USD,Campaign paused,3.70,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--c-driver safety-Google,USD,Campaign paused,3.70,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DRIVER +SAFETY,M7M2-DRIVER,b--c-driver safety-Google,USD,Campaign paused,3.70,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Teletrac-Navman-Director,USD,Campaign paused,34.70,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Teletrac-Navman-Director,USD,Campaign paused,34.70,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Teletrac-Navman-Director,USD,Campaign paused,34.70,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Teletrac-Navman-Director,USD,Campaign paused,34.70,1,100.00%,100.00%,100.00%,0.25,1,0.00,92.73%,Exact match, --,0.00%
Mobile phones,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Teletrac-Navman-Director,USD,Campaign paused,34.70,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,36.22,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,36.22,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,36.22,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,36.22,4,100.00%,100.00%,100.00%,0.24,1,0.00,92.29%,Exact match, --,0.00%
Tablets,Enabled,[teletrac navman director],0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,36.22,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled, +navman +gps,0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,40.79,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +navman +gps,0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,40.79,10,100.00%,100.00%,100.00%,36.88,1,0.00,89.76%,Broad match, --,0.00%
Tablets,Enabled, +navman +gps,0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,40.79,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +navman +gps,0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,40.79,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +navman +gps,0-D-GO-Brand|Search|US-A,Core-Brand,USD,Campaign paused,40.79,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled,[navman gps],0-D-GO-Brand|Search|US-A,Navman-GPS,USD,Campaign paused,43.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[navman gps],0-D-GO-Brand|Search|US-A,Navman-GPS,USD,Campaign paused,43.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[navman gps],0-D-GO-Brand|Search|US-A,Navman-GPS,USD,Campaign paused,43.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Mobile phones,Enabled,[navman gps],0-D-GO-Brand|Search|US-A,Navman-GPS,USD,Campaign paused,43.30,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Computers,Enabled,[navman gps],0-D-GO-Brand|Search|US-A,Navman-GPS,USD,Campaign paused,43.30,14,100.00%,77.78%,77.78%,1.23,3,0.00,85.02%,Exact match, --,22.22%
Mobile phones,Enabled,[DASHBOARD CAMERA],M7M2-DASHCAM,e--c-dashboard camera-Google,USD,Campaign paused,11.60,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Other,Enabled,[DASHBOARD CAMERA],M7M2-DASHCAM,e--c-dashboard camera-Google,USD,Campaign paused,11.60,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
